starting process gate1 with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\configs/local/gate1.json
scene gate_1 (Gate) listening on 127.0.0.1:7201
gate_1 accepted 127.0.0.1:59411 as conn 53
gate_1 accepted 127.0.0.1:59426 as conn 54
gate_1 accepted 127.0.0.1:59427 as conn 55
gate_1 accepted 127.0.0.1:59428 as conn 56
gate_1 accepted 127.0.0.1:59429 as conn 57
gate_1 accepted 127.0.0.1:59430 as conn 58
gate_1 accepted 127.0.0.1:59431 as conn 59
gate_1 accepted 127.0.0.1:59432 as conn 60
gate_1 accepted 127.0.0.1:59435 as conn 61
gate_1 accepted 127.0.0.1:59452 as conn 62
gate_1 accepted 127.0.0.1:59453 as conn 63
gate_1 accepted 127.0.0.1:59454 as conn 64
gate_1 accepted 127.0.0.1:59455 as conn 65
gate_1 accepted 127.0.0.1:59456 as conn 66
gate_1 accepted 127.0.0.1:59457 as conn 67
gate_1 accepted 127.0.0.1:59458 as conn 68
gate_1 accepted 127.0.0.1:59459 as conn 69
gate_1 accepted 127.0.0.1:59462 as conn 70
gate_1 accepted 127.0.0.1:59479 as conn 71
gate_1 accepted 127.0.0.1:59480 as conn 72
gate_1 accepted 127.0.0.1:59481 as conn 73
gate_1 accepted 127.0.0.1:59482 as conn 74
gate_1 accepted 127.0.0.1:59483 as conn 75
gate_1 accepted 127.0.0.1:59484 as conn 76
gate_1 accepted 127.0.0.1:59485 as conn 77
gate_1 accepted 127.0.0.1:59488 as conn 78
gate_1 accepted 127.0.0.1:59505 as conn 79
gate_1 accepted 127.0.0.1:59506 as conn 80
gate_1 accepted 127.0.0.1:59507 as conn 81
gate_1 accepted 127.0.0.1:59508 as conn 82
gate_1 accepted 127.0.0.1:59509 as conn 83
gate_1 accepted 127.0.0.1:59510 as conn 84
gate_1 accepted 127.0.0.1:59511 as conn 85
gate_1 accepted 127.0.0.1:59512 as conn 86
gate_1 accepted 127.0.0.1:59515 as conn 87
gate_1 accepted 127.0.0.1:59530 as conn 88
gate_1 accepted 127.0.0.1:59531 as conn 89
gate_1 accepted 127.0.0.1:59532 as conn 90
gate_1 accepted 127.0.0.1:59533 as conn 91
gate_1 accepted 127.0.0.1:59534 as conn 92
gate_1 accepted 127.0.0.1:59535 as conn 93
gate_1 accepted 127.0.0.1:59536 as conn 94
gate_1 accepted 127.0.0.1:59545 as conn 95
gate_1 accepted 127.0.0.1:59554 as conn 96
gate_1 accepted 127.0.0.1:59555 as conn 97
gate_1 accepted 127.0.0.1:59556 as conn 98
gate_1 accepted 127.0.0.1:59557 as conn 99
gate_1 accepted 127.0.0.1:59558 as conn 100
gate_1 accepted 127.0.0.1:59559 as conn 101
gate_1 accepted 127.0.0.1:59560 as conn 102
[metrics:inner_transport] active=2 opened=2 pending=0 max_pending=1 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
[metrics:gate1] scene=gate_1 type=Gate processed=316996 failed=0 ts_queue=0 ts_max_queue=512 rust_queue=6 rust_max_queue=679 backpressure=0 slow_disconnects=0 update_ms=0.00 handler_ms=0.00 max_handler_ms=13.00 total_handler_ms=1117.00
[metrics:inner_transport] active=2 opened=2 pending=0 max_pending=1 overloads=0 timeouts=0 disconnected_calls=0 late_responses=0 idle_closes=0
[metrics:gate1] scene=gate_1 type=Gate processed=466272 failed=0 ts_queue=0 ts_max_queue=512 rust_queue=0 rust_max_queue=679 backpressure=0 slow_disconnects=0 update_ms=0.00 handler_ms=0.00 max_handler_ms=13.00 total_handler_ms=1672.00
